moneyness,maturity,fitted_vol
0.740826,0.110148,0.374039
0.740826,0.113559,0.372886
0.740826,0.11697,0.371628
0.740826,0.12038,0.370262
0.740826,0.123791,0.368787
0.740826,0.127202,0.367204
0.740826,0.130612,0.365518
0.740826,0.134023,0.363736
0.740826,0.137434,0.36187
0.740826,0.140844,0.359934
0.740826,0.144255,0.357947
0.740826,0.147666,0.355931
0.740826,0.151076,0.353911
0.740826,0.154487,0.351911
0.740826,0.157898,0.349957
0.740826,0.161308,0.348073
0.740826,0.164719,0.34628
0.740826,0.16813,0.344597
0.740826,0.17154,0.343037
0.740826,0.174951,0.341609
0.740826,0.178362,0.340316
0.740826,0.181772,0.339159
0.740826,0.185183,0.338135
0.740826,0.188594,0.337236
0.740826,0.192004,0.336454
0.740826,0.195415,0.335778
0.740826,0.198826,0.335199
0.740826,0.202237,0.334705
0.740826,0.205647,0.334287
0.740826,0.209058,0.333933
0.740826,0.212469,0.333635
0.740826,0.215879,0.333385
0.740826,0.21929,0.333176
0.740826,0.222701,0.333001
0.740826,0.226111,0.332856
0.740826,0.229522,0.332734
0.740826,0.232933,0.332632
0.740826,0.236343,0.332548
0.740826,0.239754,0.332477
0.740826,0.243165,0.332418
0.740826,0.246575,0.332368
0.75857,0.0794521,0.376687
0.75857,0.0828627,0.376211
0.75857,0.0862734,0.375682
0.75857,0.0896841,0.375096
0.75857,0.0930948,0.374447
0.75857,0.0965055,0.373731
0.75857,0.0999161,0.372942
0.75857,0.103327,0.372074
0.75857,0.106737,0.371124
0.75857,0.110148,0.370085
0.75857,0.113559,0.368955
0.75857,0.11697,0.36773
0.75857,0.12038,0.366408
0.75857,0.123791,0.36499
0.75857,0.127202,0.363476
0.75857,0.130612,0.361872
0.75857,0.134023,0.360182
0.75857,0.137434,0.358417
0.75857,0.140844,0.356588
0.75857,0.144255,0.35471
0.75857,0.147666,0.3528
0.75857,0.151076,0.350877
0.75857,0.154487,0.348962
0.75857,0.157898,0.347076
0.75857,0.161308,0.345239
0.75857,0.164719,0.343471
0.75857,0.16813,0.341788
0.75857,0.17154,0.340204
0.75857,0.174951,0.338731
0.75857,0.178362,0.337376
0.75857,0.181772,0.336142
0.75857,0.185183,0.33503
0.75857,0.188594,0.334036
0.75857,0.192004,0.333156
0.75857,0.195415,0.332383
0.75857,0.198826,0.331709
0.75857,0.202237,0.331125
0.75857,0.205647,0.330622
0.75857,0.209058,0.33019
0.75857,0.212469,0.329822
0.75857,0.215879,0.329509
