,J=66,J=68,J=70,J=72,J=74,J=76,J=78,J=80,J=82,J=84,J=86,J=88,J=90,J=92,J=94,J=96,J=98,J=100,J=102,J=104,J=106,J=108,J=110,J=112,J=114,J=116,J=118,J=120
N=340,-0.41,-1.05,-1.06,-0.45,-1.09,-1.09,-0.49,-1.12,-1.12,-0.52,-1.15,-1.16,-0.56,-1.18,-1.18,-0.59,-1.21,-1.21,-0.62,-1.23,-1.24,2.25,9.46,16.65,23.82,31.3,38.32,44.4
N=345,-0.41,-1.05,-1.06,-0.45,-1.09,-1.1,-0.49,-1.12,-1.12,-0.52,-1.15,-1.16,-0.56,-1.18,-1.18,-0.59,-1.21,-1.21,-0.62,-1.23,-1.23,1.61,8.3,14.03,21.58,29.28,36.48,42.73
N=350,-0.41,-1.05,-1.06,-0.45,-1.09,-1.1,-0.49,-1.12,-1.12,-0.52,-1.15,-1.16,-0.56,-1.18,-1.19,-0.59,-1.21,-1.21,-0.62,-1.23,-1.23,-0.6,6.1,12.52,19.34,27.18,34.56,40.99
N=355,-0.41,-1.05,-1.06,-0.45,-1.08,-1.1,-0.49,-1.12,-1.12,-0.52,-1.15,-1.16,-0.56,-1.19,-1.19,-0.59,-1.21,-1.21,-0.62,-1.23,-1.23,-0.65,3.41,11.33,17.27,25.04,32.58,39.18
N=360,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.12,-1.12,-0.52,-1.15,-1.16,-0.56,-1.19,-1.19,-0.59,-1.21,-1.21,-0.62,-1.23,-1.23,-0.65,2.79,7.59,15.15,22.73,30.53,37.29
N=365,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.12,-1.13,-0.52,-1.15,-1.16,-0.56,-1.18,-1.19,-0.59,-1.21,-1.21,-0.62,-1.23,-1.23,-0.65,0.54,6.63,13.31,20.54,28.38,35.34
N=370,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.12,-1.13,-0.52,-1.15,-1.16,-0.56,-1.18,-1.19,-0.59,-1.21,-1.21,-0.62,-1.23,-1.23,-0.65,-1.17,5.43,12.01,18.27,26.02,33.32
N=375,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.12,-1.13,-0.52,-1.15,-1.16,-0.56,-1.18,-1.19,-0.59,-1.21,-1.21,-0.62,-1.23,-1.23,-0.65,-1.26,3.01,10.04,17.01,23.68,31.23
N=380,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.12,-1.13,-0.52,-1.15,-1.16,-0.56,-1.18,-1.19,-0.58,-1.21,-1.21,-0.61,-1.23,-1.23,-0.65,-1.26,1.48,7.75,14.63,21.84,29.17
N=385,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.12,-1.13,-0.52,-1.15,-1.16,-0.56,-1.18,-1.19,-0.58,-1.21,-1.21,-0.61,-1.23,-1.23,-0.65,-1.26,-0.94,6.05,13.22,19.96,27.18
N=390,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.12,-1.13,-0.52,-1.15,-1.16,-0.55,-1.18,-1.19,-0.58,-1.21,-1.21,-0.61,-1.23,-1.23,-0.64,-1.26,-1.26,3.97,10.86,17.86,23.9
N=395,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.12,-1.13,-0.52,-1.15,-1.16,-0.55,-1.18,-1.19,-0.58,-1.21,-1.21,-0.61,-1.23,-1.23,-0.64,-1.26,-1.26,2.06,9.4,16.42,23.28
N=400,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.12,-1.13,-0.52,-1.15,-1.16,-0.55,-1.18,-1.19,-0.58,-1.21,-1.21,-0.61,-1.23,-1.23,-0.64,-1.26,-1.26,-0.29,7.51,15.05,21.1
N=405,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.48,-1.12,-1.13,-0.52,-1.15,-1.16,-0.55,-1.18,-1.19,-0.58,-1.21,-1.21,-0.61,-1.23,-1.23,-0.64,-1.26,-1.26,-0.67,5.23,12.77,19.09
N=410,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.48,-1.12,-1.13,-0.52,-1.15,-1.16,-0.55,-1.18,-1.19,-0.58,-1.21,-1.21,-0.61,-1.23,-1.23,-0.64,-1.26,-1.26,-0.67,3.25,10.89,17.73
N=415,-0.41,-1.05,-1.06,-0.45,-1.09,-1.09,-0.48,-1.12,-1.13,-0.52,-1.15,-1.16,-0.55,-1.18,-1.19,-0.58,-1.21,-1.22,-0.61,-1.23,-1.24,-0.64,-1.26,-1.26,-0.67,1.28,8.93,15.66
N=420,-0.41,-1.05,-1.06,-0.45,-1.09,-1.09,-0.48,-1.12,-1.13,-0.52,-1.15,-1.16,-0.55,-1.18,-1.19,-0.58,-1.21,-1.22,-0.61,-1.23,-1.24,-0.64,-1.26,-1.26,-0.67,-0.98,6.72,14.12
N=425,-0.41,-1.05,-1.06,-0.45,-1.09,-1.09,-0.48,-1.12,-1.13,-0.52,-1.15,-1.16,-0.55,-1.18,-1.18,-0.58,-1.21,-1.22,-0.61,-1.23,-1.24,-0.64,-1.26,-1.26,-0.67,-1.28,4.68,11.31
N=430,-0.41,-1.05,-1.06,-0.45,-1.09,-1.09,-0.48,-1.12,-1.13,-0.52,-1.15,-1.16,-0.55,-1.18,-1.18,-0.58,-1.21,-1.22,-0.61,-1.24,-1.24,-0.64,-1.26,-1.26,-0.67,-1.28,1.39,10.03
N=435,-0.41,-1.05,-1.06,-0.45,-1.09,-1.09,-0.48,-1.12,-1.13,-0.52,-1.15,-1.16,-0.55,-1.18,-1.18,-0.58,-1.21,-1.22,-0.61,-1.24,-1.24,-0.64,-1.26,-1.26,-0.67,-1.28,0.09,7.54
N=440,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.48,-1.12,-1.13,-0.52,-1.15,-1.16,-0.55,-1.18,-1.18,-0.58,-1.21,-1.21,-0.61,-1.24,-1.24,-0.64,-1.26,-1.26,-0.67,-1.28,-1.28,5.08
N=445,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.48,-1.12,-1.13,-0.52,-1.15,-1.16,-0.55,-1.18,-1.18,-0.58,-1.21,-1.21,-0.61,-1.24,-1.24,-0.64,-1.26,-1.26,-0.67,-1.28,-1.28,2.75
N=450,-0.41,-1.05,-1.06,-0.45,-1.08,-1.1,-0.48,-1.12,-1.13,-0.52,-1.15,-1.16,-0.55,-1.18,-1.18,-0.58,-1.21,-1.21,-0.61,-1.24,-1.24,-0.64,-1.26,-1.26,-0.67,-1.28,-1.28,1.82
